name, latitude, longitude, altitude, timezone
Kittila,67.701022,24.84685,644,2
Kuopio,63.00715,27.797756,323,2
Lahti Vesivehmaa,61.144158,25.693508,502,2
Lappeenranta,61.044553,28.144397,349,2
Mariehamn,60.122203,19.898156,17,1
Menkijarvi,62.946667,23.518889,331,2
Mikkeli,61.6866,27.201794,329,2
Nummela,60.333889,24.296389,367,2
Oulu,64.930061,25.354564,47,2
Piikajarvi,61.245558,22.193356,148,2
Pori,61.461686,21.799983,44,2
Pudasjarvi,65.402222,26.946944,397,2
Pyhasalmi,63.731917,25.926306,528,2
Raahe Pattijoki,64.688056,24.695833,118,2
Rantasalmi,62.065481,28.356494,292,2
Rovaniemi,66.564822,25.830411,642,2
Rayskala,60.744722,24.107778,407,2
Savonlinna,61.943064,28.945136,311,2
Selanpaa,61.062389,26.798861,417,2
Sodankyla,67.395033,26.619133,602,2
Tampere Pirkkala,61.414147,23.604392,390,2
Teisko,61.77335,24.027006,515,2
Turku,60.514142,22.262808,161,2
Utti,60.896394,26.938353,339,2
Vaasa,63.05065,21.762175,19,2
Varkaus,62.171111,27.868611,286,2
Ylivieska,64.060547,24.715953,252,2
Aldergrove,54.6575,-6.215833,268,0
St Angelo,54.398889,-7.651667,155,0
City,54.618056,-5.8725,15,0
Londonderry Eglinton,55.042778,-7.161111,22,0
Birmingham,52.453856,-1.748028,327,0
Coventry,52.369722,-1.479722,267,0
Leicester,52.607778,-1.031944,469,0
Gloucestershire,51.894167,-2.167222,101,0
Wolverhampton,52.5175,-2.259444,283,0
Kemble,51.668056,-2.056944,433,0
Turweston,52.040833,-1.095556,448,0
Wellesbourne Mountford,52.192222,-1.614444,159,0
Manchester,53.353744,-2.27495,257,0
Manchester Woodford,53.338056,-2.148889,295,0
Chivenor,51.087167,-4.150339,27,0
St Mawgan,50.440558,-4.995408,390,0
Lyneham,51.505144,-1.993428,513,0
Boscombe Down,51.152189,-1.747414,407,0
Culdrose,50.086092,-5.255711,267,0
St Athan,51.404811,-3.43575,163,0
Yeovilton,51.009358,-2.638819,75,0
Haverfordwest,51.833056,-4.961111,159,0
Cardiff,51.396667,-3.343333,220,0
Swansea,51.605333,-4.067833,299,0
Bristol,51.382669,-2.719089,622,0
Liverpool,53.333611,-2.849722,80,0
Luton,51.874722,-0.368333,526,0
Plymouth,50.422778,-4.105833,476,0
Bournemouth,50.78,-1.8425,38,0
Southampton,50.950261,-1.356803,44,0
Lasham,51.187167,-1.0335,618,0
Alderney,49.706111,-2.214722,290,0
Guernsey,49.434956,-2.601969,336,0
Jersey,49.207947,-2.195508,277,0
Shoreham,50.835556,-0.297222,7,0
Biggin Hill,51.330833,0.0325,598,0
Gatwick,51.148056,-0.190278,202,0
City,51.505278,0.055278,19,0
Farnborough,51.275833,-0.776333,238,0
Chalgrove,51.676111,-1.080833,240,0
Blackbushe,51.323889,-0.8475,325,0
Heathrow,51.4775,-0.461389,83,0
Southend,51.571389,0.695556,49,0
Lydd,50.956111,0.939167,13,0
Manston,51.342222,1.346111,178,0
Brough,53.719667,-0.566333,12,0
Carlisle,54.9375,-2.809167,190,0
Gamston,53.280556,-0.951389,91,0
Blackpool,53.771667,-3.028611,34,0
Humberside,53.574444,-0.350833,121,0
Walney Island,54.131167,-3.263667,173,0
Leeds Bradford,53.865897,-1.660569,681,0
Warton,53.745097,-2.883061,55,0
Hawarden,53.178056,-2.977778,45,0
Isle Of Man,54.083333,-4.623889,52,0
Newcastle,55.0375,-1.691667,266,0
Durham Tees Valley Airport,54.509189,-1.429406,120,0
Nottingham East Midlands,52.831111,-1.328056,306,0
Llanbedr,52.811744,-4.123575,30,0
Ternhill,52.871164,-2.533561,272,0
Shawbury,52.798169,-2.668042,249,0
Woodvale,53.581575,-3.055522,37,0
Kirkwall,58.957778,-2.905,50,0
Sumburgh,59.878889,-1.295556,20,0
Wick,58.458889,-3.093056,126,0
Dyce,57.201944,-2.197778,215,0
Inverness,57.5425,-4.0475,31,0
Glasgow,55.871944,-4.433056,26,0
Edinburgh,55.95,-3.3725,135,0
Islay,55.681944,-6.256667,56,0
Prestwick,55.509444,-4.586667,65,0
Benbecula,57.481111,-7.362778,19,0
Scatsta,60.432778,-1.296111,81,0
Dundee,56.452499,-3.025833,17,0
Stornoway,58.215556,-6.331111,26,0
Tiree,56.499167,-6.869167,38,0
Leuchars,56.372889,-2.868444,38,0
Lossiemouth,57.705214,-3.339169,42,0
Cambridge,52.205,0.175,47,0
Conington,52.468056,-0.251111,26,0
Norwich,52.675833,1.282778,117,0
Stansted,51.885,0.235,348,0
North Weald,51.721667,0.154167,321,0
Sheffield City,53.394256,-1.388486,231,0
Cranfield,52.072222,-0.616667,358,0
Exeter,50.734444,-3.413889,102,0
Bristol Filton,51.519444,-2.590833,226,0
Kidlington,51.836944,-1.32,270,0
Benson,51.616389,-1.095833,226,0
Lakenheath,52.409333,0.561,32,0
Mildenhall,52.361933,0.486406,33,0
Wattisham,52.127283,0.956264,284,0
Wyton,52.357167,-0.107833,135,0
Fairford,51.682167,-1.790028,286,0
Brize Norton,51.749964,-1.583617,288,0
Odiham,51.234139,-0.942825,405,0
Cosford,52.640028,-2.305578,272,0
Northolt,51.553,-0.418167,124,0
Coningsby,53.093014,-0.166014,25,0
Dishforth,54.137186,-1.420253,117,0
Leeming,54.292383,-1.5354,132,0
Church Fenton,53.834333,-1.1955,29,0
Honington,52.342611,0.772939,174,0
Cottesmore,52.735711,-0.648769,461,0
Scampton,53.307778,-0.550833,202,0
Wittering,52.612558,-0.476453,273,0
Linton On Ouse,54.048911,-1.252747,53,0
Waddington,53.166167,-0.523811,231,0
Topcliffe,54.205522,-1.382094,92,0
Cranwell,53.03035,-0.483242,218,0
Barkston Heath,52.962225,-0.561625,367,0
Marham,52.648353,0.550692,75,0
Mount Pleasant,-51.822777,-58.447222,244,-4
Schiphol,52.308613,4.763889,-11,1
Budel,51.25528,5.601389,114,1
Maastricht,50.911658,5.770144,375,1
Deelen,52.060556,5.873056,158,1
Drachten,53.119167,6.129722,14,1
Eindhoven,51.450139,5.374528,74,1
Eelde,53.11972,6.579444,17,1
Gilze Rijen,51.567389,4.931833,49,1
De Kooy,52.923353,4.780625,3,1
Lelystad,52.460278,5.527222,-13,1
Leeuwarden,53.228611,5.760556,3,1
Rotterdam,51.956944,4.437222,-15,1
Soesterberg,52.1273,5.27619,66,1
Twenthe,52.27,6.874167,114,1
Valkenburg,52.166139,4.417944,0,1
Woensdrecht,51.449092,4.342031,63,1
Cork,51.841269,-8.491111,502,0
Galway,53.300175,-8.941592,81,0
Dublin,53.421333,-6.270075,242,0
Connaught,53.910297,-8.818492,665,0
Kerry,52.180878,-9.523783,112,0
Casement,53.301667,-6.451333,319,0
Shannon,52.701978,-8.924817,46,0
Sligo,54.280214,-8.599206,11,0
Waterford,52.1872,-7.086964,119,0
Aarhus,56.300017,10.619008,82,1
Billund,55.740322,9.151778,247,1
Kastrup,55.617917,12.655972,17,1
Esbjerg,55.525942,8.553403,97,1
Gronholt Hillerod,55.941387,12.382222,97,1
Karup,56.297458,9.124628,170,1
Laeso,57.277228,11.000083,25,1
Lolland Falster Maribo,54.699344,11.440117,16,1
Odense,55.476664,10.330933,56,1
Krusa Padborg,54.870306,9.279014,88,1
Roskilde,55.585567,12.131428,146,1
Bornholm Ronne,55.063267,14.759558,52,1
Sonderborg,54.964367,9.791731,24,1
Skrydstrup,55.225553,9.263931,141,1
Skive,56.550208,9.172983,74,1
Thisted,57.0688,8.705225,23,1
Kolding Vamdrup,55.436283,9.330925,143,1
Vagar,62.063628,-7.277219,280,0
Aars,56.846944,9.458611,119,1
Stauning,55.990122,8.353906,17,1
Aalborg,57.092789,9.849164,10,1
Luxembourg,49.626575,6.211517,1234,1
